5.55E+01	6.95E+01	1.00E+00
4.10E+01	8.15E+01	1.00E+00
5.35E+01	8.60E+01	1.00E+00
4.60E+01	8.40E+01	1.00E+00
4.10E+01	7.35E+01	1.00E+00
5.15E+01	6.90E+01	1.00E+00
5.10E+01	6.25E+01	1.00E+00
4.20E+01	7.50E+01	1.00E+00
5.35E+01	8.30E+01	1.00E+00
5.75E+01	7.10E+01	1.00E+00
4.25E+01	7.25E+01	1.00E+00
4.10E+01	8.00E+01	1.00E+00
4.60E+01	8.20E+01	1.00E+00
4.60E+01	6.05E+01	1.00E+00
4.95E+01	7.60E+01	1.00E+00
4.10E+01	7.60E+01	1.00E+00
4.85E+01	7.25E+01	1.00E+00
5.15E+01	8.25E+01	1.00E+00
4.45E+01	7.05E+01	1.00E+00
4.40E+01	6.60E+01	1.00E+00
3.30E+01	7.65E+01	1.00E+00
3.35E+01	7.85E+01	1.00E+00
3.15E+01	7.20E+01	1.00E+00
3.30E+01	8.15E+01	1.00E+00
4.20E+01	5.95E+01	1.00E+00
3.00E+01	6.40E+01	1.00E+00
6.10E+01	4.50E+01	1.00E+00
4.90E+01	7.90E+01	1.00E+00
2.65E+01	6.45E+01	1.00E+00
3.40E+01	7.15E+01	1.00E+00
4.20E+01	8.35E+01	1.00E+00
2.95E+01	7.45E+01	1.00E+00
3.95E+01	7.00E+01	1.00E+00
5.15E+01	6.60E+01	1.00E+00
4.15E+01	7.15E+01	1.00E+00
4.25E+01	7.95E+01	1.00E+00
3.50E+01	5.95E+01	1.00E+00
3.85E+01	7.35E+01	1.00E+00
3.20E+01	8.15E+01	1.00E+00
4.60E+01	6.05E+01	1.00E+00
3.65E+01	5.30E+01	0.00E+00
3.65E+01	5.35E+01	0.00E+00
2.40E+01	6.05E+01	0.00E+00
1.90E+01	5.75E+01	0.00E+00
3.45E+01	6.00E+01	0.00E+00
3.75E+01	6.45E+01	0.00E+00
3.55E+01	5.10E+01	0.00E+00
3.70E+01	5.05E+01	0.00E+00
2.15E+01	4.20E+01	0.00E+00
3.55E+01	5.85E+01	0.00E+00
2.65E+01	6.85E+01	0.00E+00
2.65E+01	5.55E+01	0.00E+00
1.85E+01	6.70E+01	0.00E+00
4.00E+01	6.70E+01	0.00E+00
3.25E+01	7.15E+01	0.00E+00
3.90E+01	7.15E+01	0.00E+00
4.30E+01	5.55E+01	0.00E+00
2.20E+01	5.40E+01	0.00E+00
3.60E+01	6.25E+01	0.00E+00
3.10E+01	5.55E+01	0.00E+00
3.85E+01	7.60E+01	0.00E+00
4.00E+01	7.50E+01	0.00E+00
3.75E+01	6.30E+01	0.00E+00
2.45E+01	5.80E+01	0.00E+00
3.00E+01	6.70E+01	0.00E+00
3.30E+01	5.60E+01	0.00E+00
5.65E+01	6.10E+01	0.00E+00
4.10E+01	5.70E+01	0.00E+00
4.95E+01	6.30E+01	0.00E+00
3.45E+01	7.25E+01	0.00E+00
3.25E+01	6.90E+01	0.00E+00
3.60E+01	7.30E+01	0.00E+00
2.70E+01	5.35E+01	0.00E+00
4.10E+01	6.35E+01	0.00E+00
2.95E+01	5.25E+01	0.00E+00
2.00E+01	6.55E+01	0.00E+00
3.80E+01	6.50E+01	0.00E+00
1.85E+01	7.45E+01	0.00E+00
1.60E+01	7.25E+01	0.00E+00
3.35E+01	6.80E+01	0.00E+00
